anonID,fixture_id,team_id,id,period_name,period_tags,rd,start_time,position_fb,position_5,position_6,position,total_duration,total_distance,hmld_gen_2,accelerations_total_number,total_acceleration_load,hsr_distance_5m_s,game_start_time,end_time,ball_carry,defensive_breakdown,tackle,offensive_breakdown,collision,attacker,maul,na,defensive_scrum,offensive_scrum,bip,bop,half,bip_bin,bop_bin,wr_ratio,w_r,wr_bin,bip_sec,bop_sec,turnaround,total_scrums,total_breakdowns,SYNTH_spmld_m,SYNTH_acceleration_density,SYNTH_contact_involvement_total_count,SYNTH_scrum_count,SYNTH_sprints_5m_s,SYNTH_velocity_b4_average_effort_distance_gen2,SYNTH_velocity_b4_maximum_effort_distance_gen2,SYNTH_vhsr_srw,SYNTH_total_contact_involvements
7338b1e1,fix_OkeAIV22,team_UbIB7L,41,BIP,Game - Starter,rd1,17:06:03,Forward,Front Row,Front Row,Front Row,00:00:29,82.5089,16.57,0,21.33596,0,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,0,0.83452,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,39,BIP,Game - Starter,rd1,17:06:03,Forward,Back Row,Back Row,Back Row,00:00:29,76.79111,5.75,0,19.08189,0,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,0.63,0.7734,1,0,0,0,0,0,1
7338b1e1,fix_OkeAIV22,team_UbIB7L,26,BIP,Game - Starter,rd1,17:06:03,Back,Inside Backs,Inside Backs,Centres,00:00:29,66.2507,5,0,23.72616,0,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,0,0.30482,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,40,BIP,Game - Starter,rd1,17:06:03,Forward,Back Row,Back Row,Back Row,00:00:29,64.7144,2.98,0,22.84982,0,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,2.38,0.80272,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,19,BIP,Game - Starter,rd1,17:06:03,Forward,Front Row,Front Row,Front Row,00:00:29,54.7645,1.51,0,21.23526,0,17:05:44,17:06:32,0,0,0,0,0,0,0,0,0,0,00:00:29,00:00:16,First Half,16-30,16-30,0.551724138,01:00.6,1:0.5-1,29,16,≥ 10,0,0,0,0.16602,0,1,0,0,0,0,1
7338b1e1,fix_OkeAIV22,team_UbIB7L,3,BIP,Game - Starter,rd1,17:06:48,Back,Outside Backs,Outside Backs,Back Three,00:00:24,57.87302,5.77,0,18.58166,0,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0,0.09106,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,6,BIP,Game - Starter,rd1,17:06:48,Back,Outside Backs,Outside Backs,Back Three,00:00:24,61.3709,13.63,1,19.23596,9.25,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0.43,0.60587,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,9,BIP,Game - Starter,rd1,17:06:48,Forward,Back Row,Back Row,Back Row,00:00:24,70.31801,16.03,1,17.89046,3.21,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0,0.50772,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,4,BIP,Game - Starter,rd1,17:06:48,Forward,Locks,Locks,Second Row,00:00:24,67.475,1.64,0,12.93864,0,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0,0.64577,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,38,BIP,Game - Starter,rd1,17:06:48,Forward,Front Row,Front Row,Front Row,00:00:24,57.24191,3.36,1,13.13599,0,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0,0.73465,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,25,BIP,Game - Starter,rd1,17:06:48,Forward,Locks,Locks,Second Row,00:00:24,64.49152,7.14,0,16.13097,0,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0,0.57545,0,0,0,0,0,0,1
7338b1e1,fix_OkeAIV22,team_UbIB7L,21,BIP,Game - Starter,rd1,17:06:48,Back,Inside Backs,Scrum Halve,Halves,00:00:24,62.3605,0.68,0,10.21248,0,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0,0.59779,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,18,BIP,Game - Starter,rd1,17:06:48,Back,Outside Backs,Outside Backs,Centres,00:00:24,70.66171,27.82,1,28.73171,12.12,17:05:44,17:07:12,0,0,0,0,0,1,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,1.71,0.57233,0,0,0,0,0,0,3
7338b1e1,fix_OkeAIV22,team_UbIB7L,22,BIP,Game - Starter,rd1,17:06:48,Back,Outside Backs,Outside Backs,Back Three,00:00:24,74.1154,36.46,2,29.59867,13.03,17:05:44,17:07:12,1,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,1.27,0.34141,0,1,0,0,0,0,1
7338b1e1,fix_OkeAIV22,team_UbIB7L,15,BIP,Game - Starter,rd1,17:06:48,Back,Inside Backs,Inside Backs,Halves,00:00:24,65.967,8.36,0,17.30343,0,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0,0.22135,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,41,BIP,Game - Starter,rd1,17:06:48,Forward,Front Row,Front Row,Front Row,00:00:24,75.1485,24.4,1,21.82253,11.88,17:05:44,17:07:12,0,0,1,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,11.65,0.63901,0,0,1,20.55908,20.474,7.22,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,39,BIP,Game - Starter,rd1,17:06:48,Forward,Back Row,Back Row,Back Row,00:00:24,62.74509,5.26,1,18.31162,0,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,1.4,0.5147,2,1,0,0,0,0,1
7338b1e1,fix_OkeAIV22,team_UbIB7L,26,BIP,Game - Starter,rd1,17:06:48,Back,Inside Backs,Inside Backs,Centres,00:00:24,66.91041,18.5,1,22.44097,6,17:05:44,17:07:12,0,0,0,0,0,1,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0,0.89316,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,40,BIP,Game - Starter,rd1,17:06:48,Forward,Back Row,Back Row,Back Row,00:00:24,64.75391,14.03,0,16.81924,0,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0,0.56836,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,19,BIP,Game - Starter,rd1,17:06:48,Forward,Front Row,Front Row,Front Row,00:00:24,50.05441,0,0,13.01887,0,17:05:44,17:07:12,0,0,0,0,0,0,0,0,0,0,00:00:24,00:00:43,First Half,16-30,31-45,1.791666667,01:01.8,1:1.5-2,24,43,≥ 10,0,0,0,0.62449,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,3,BIP,Game - Starter,rd1,17:07:55,Back,Outside Backs,Outside Backs,Back Three,00:00:20,27.6688,0,0,6.94714,0,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,0,0.22537,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,6,BIP,Game - Starter,rd1,17:07:55,Back,Outside Backs,Outside Backs,Back Three,00:00:20,56.05103,35.16,0,11.1439,37.37,17:05:44,17:08:15,0,0,1,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,4.38,0.70948,2,0,1,2.29541,2.27734,0,2
7338b1e1,fix_OkeAIV22,team_UbIB7L,9,BIP,Game - Starter,rd1,17:07:55,Forward,Back Row,Back Row,Back Row,00:00:20,51.13201,29.23,2,18.76974,20.58,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,18.28,0.45898,2,0,1,15.46509,15.44507,0,3
7338b1e1,fix_OkeAIV22,team_UbIB7L,4,BIP,Game - Starter,rd1,17:07:55,Forward,Locks,Locks,Second Row,00:00:20,36.96988,5.93,0,14.37412,0,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,0,0.42626,1,0,0,0,0,0,1
7338b1e1,fix_OkeAIV22,team_UbIB7L,38,BIP,Game - Starter,rd1,17:07:55,Forward,Front Row,Front Row,Front Row,00:00:20,29.39179,0,0,10.64364,0,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,3.59,0.76374,1,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,25,BIP,Game - Starter,rd1,17:07:55,Forward,Locks,Locks,Second Row,00:00:20,35.635,2.82,0,12.95087,0,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,0,0.20768,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,21,BIP,Game - Starter,rd1,17:07:55,Back,Inside Backs,Scrum Halve,Halves,00:00:20,34.623,5.43,0,16.8929,0,17:05:44,17:08:15,0,1,1,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,1,2.34,0.58,0,0,1,4.01318,4.00195,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,18,BIP,Game - Starter,rd1,17:07:55,Back,Outside Backs,Outside Backs,Centres,00:00:20,49.29538,16.57,0,12.86853,17.07,17:05:44,17:08:15,0,0,1,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,0.53,0.70216,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,22,BIP,Game - Starter,rd1,17:07:55,Back,Outside Backs,Outside Backs,Back Three,00:00:20,38.91381,12.14,1,18.76399,9.25,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,2.82,0.54507,0,0,1,2.83301,2.88101,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,15,BIP,Game - Starter,rd1,17:07:55,Back,Inside Backs,Inside Backs,Halves,00:00:20,26.269,0.83,0,15.06199,0,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,7.71,0.49913,0,0,1,14.651,14.651,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,41,BIP,Game - Starter,rd1,17:07:55,Forward,Front Row,Front Row,Front Row,00:00:20,40.82371,8.66,1,9.76041,3.96,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,0,0.30256,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,39,BIP,Game - Starter,rd1,17:07:55,Forward,Back Row,Back Row,Back Row,00:00:20,32.8368,0,0,11.12562,0,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,0,0.41507,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,26,BIP,Game - Starter,rd1,17:07:55,Back,Inside Backs,Inside Backs,Centres,00:00:20,42.39021,1.5,0,10.71462,0,17:05:44,17:08:15,0,0,1,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,0,0.25582,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,40,BIP,Game - Starter,rd1,17:07:55,Forward,Back Row,Back Row,Back Row,00:00:20,37.93299,9.37,1,16.97357,1.96,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,0,0.17357,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,19,BIP,Game - Starter,rd1,17:07:55,Forward,Front Row,Front Row,Front Row,00:00:20,31.87789,0,0,9.99784,0,17:05:44,17:08:15,0,0,0,0,0,0,0,0,0,0,00:00:20,00:00:04,First Half,16-30,0-15,0.2,01:00.2,1:0-0.5,20,4,≥ 10,0,0,0,0.47465,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,3,BIP,Game - Starter,rd1,17:08:19,Back,Outside Backs,Outside Backs,Back Three,00:00:35,90.88012,10.94,0,19.97615,7.6,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,2.5,0.40388,0,0,1,2.34497,2.36694,2.18,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,6,BIP,Game - Starter,rd1,17:08:19,Back,Outside Backs,Outside Backs,Back Three,00:00:35,96.74389,24.63,1,24.77536,47.73,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,0,0.19304,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,9,BIP,Game - Starter,rd1,17:08:19,Forward,Back Row,Back Row,Back Row,00:00:35,113.269,20.68,0,19.27873,25.74,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,0.67,0.42111,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,4,BIP,Game - Starter,rd1,17:08:19,Forward,Locks,Locks,Second Row,00:00:35,101.46562,0.26,0,17.53095,0,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,2.89,0.65918,1,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,38,BIP,Game - Starter,rd1,17:08:19,Forward,Front Row,Front Row,Front Row,00:00:35,94.31019,0,0,15.68162,0,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,6.23,0.67363,1,0,1,15.76709,15.76807,0,3
7338b1e1,fix_OkeAIV22,team_UbIB7L,25,BIP,Game - Starter,rd1,17:08:19,Forward,Locks,Locks,Second Row,00:00:35,103.1707,5.06,0,22.30053,0,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,0,0.36218,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,21,BIP,Game - Starter,rd1,17:08:19,Back,Inside Backs,Scrum Halve,Halves,00:00:35,128.71271,18.34,0,14.64537,19.56,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,0,0.16097,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,18,BIP,Game - Starter,rd1,17:08:19,Back,Outside Backs,Outside Backs,Centres,00:00:35,96.60499,32.03,0,24.17792,35.97,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,27.87,0.67302,0,0,1,46.57202,55.2251,42.6,2
7338b1e1,fix_OkeAIV22,team_UbIB7L,22,BIP,Game - Starter,rd1,17:08:19,Back,Outside Backs,Outside Backs,Back Three,00:00:35,77.83839,21.01,1,27.95493,19.99,17:05:44,17:08:54,0,0,2,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,8.77,0.66038,1,0,1,4.97705,4.92004,0,2
7338b1e1,fix_OkeAIV22,team_UbIB7L,15,BIP,Game - Starter,rd1,17:08:19,Back,Inside Backs,Inside Backs,Halves,00:00:35,131.26431,41.27,1,25.03468,41.84,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,1.53,0.87967,0,0,0,0,0,0,1
7338b1e1,fix_OkeAIV22,team_UbIB7L,41,BIP,Game - Starter,rd1,17:08:19,Forward,Front Row,Front Row,Front Row,00:00:35,79.67671,17.02,1,22.74589,18.06,17:05:44,17:08:54,0,0,1,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,0,0.39163,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,39,BIP,Game - Starter,rd1,17:08:19,Forward,Back Row,Back Row,Back Row,00:00:35,90.60732,23.43,1,22.97298,16.4,17:05:44,17:08:54,0,0,1,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,0,0.46129,1,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,26,BIP,Game - Starter,rd1,17:08:19,Back,Inside Backs,Inside Backs,Centres,00:00:35,84.52101,14.11,0,19.62654,11.52,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,6.79,0.72687,0,0,1,17.24683,17.18994,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,40,BIP,Game - Starter,rd1,17:08:19,Forward,Back Row,Back Row,Back Row,00:00:35,90.04401,0.78,0,13.25972,0,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,10.15,0.75869,0,0,2,9.60034,13.16895,0,1
7338b1e1,fix_OkeAIV22,team_UbIB7L,19,BIP,Game - Starter,rd1,17:08:19,Forward,Front Row,Front Row,Front Row,00:00:35,80.48589,0,0,14.59348,0,17:05:44,17:08:54,0,0,0,0,0,0,0,0,0,0,00:00:35,00:01:41,First Half,31-45,91-120,2.885714286,01:02.9,1:2.5-3,35,101,≥ 10,0,0,0,0.4662,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,3,BIP,Game - Starter,rd1,17:10:35,Back,Outside Backs,Outside Backs,Back Three,00:00:09,20.85201,2.4,0,4.75023,0,17:05:44,17:10:44,0,0,0,0,0,0,0,0,0,0,00:00:09,00:00:25,First Half,0-15,16-30,2.777777778,01:02.8,1:2.5-3,9,25,≥ 10,0,0,0,0.55985,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,6,BIP,Game - Starter,rd1,17:10:35,Back,Outside Backs,Outside Backs,Back Three,00:00:09,24.5012,3.99,1,7.05173,0,17:05:44,17:10:44,0,0,0,0,0,0,0,0,0,0,00:00:09,00:00:25,First Half,0-15,16-30,2.777777778,01:02.8,1:2.5-3,9,25,≥ 10,0,0,0,0.51375,0,0,0,0,0,0,0
7338b1e1,fix_OkeAIV22,team_UbIB7L,9,BIP,Game - Starter,rd1,17:10:35,Forward,Back Row,Back Row,Back Row,00:00:09,40.54678,20.57,1,15.03257,20.49,17:05:44,17:10:44,0,0,0,0,0,0,0,0,0,0,00:00:09,00:00:25,First Half,0-15,16-30,2.777777778,01:02.8,1:2.5-3,9,25,≥ 10,0,0,0,0.36231,0,0,0,0,0,0,0
