fixture_id,team_id,start_time,rd,BIP,BOP,half,BIP_bin,BOP_bin,WR_ratio,W:R,WR_bin,BIP_sec,BOP_sec
fix_OkeAIV22,team_UbIB7L,18:17:29,rd1,00:38.0,01:04.0,Second Half,31-45,61-90,1.684210526,01:01.7,1:1.5-2,38,64
fix_OkeAIV22,team_UbIB7L,18:19:11,rd1,00:09.0,00:58.0,Second Half,0-15,46-60,6.444444444,01:06.4,1:3+,9,58
fix_OkeAIV22,team_UbIB7L,18:20:18,rd1,01:07.0,01:45.0,Second Half,61-90,91-120,1.567164179,01:01.6,1:1.5-2,67,105
fix_OkeAIV22,team_UbIB7L,18:23:10,rd1,00:27.0,00:48.0,Second Half,16-30,46-60,1.777777778,01:01.8,1:1.5-2,27,48
fix_OkeAIV22,team_UbIB7L,18:24:25,rd1,01:45.0,01:47.0,Second Half,91-120,91-120,1.019047619,01:01.0,1:1-1.5,105,107
fix_OkeAIV22,team_UbIB7L,18:27:57,rd1,00:23.0,00:54.0,Second Half,16-30,46-60,2.347826087,01:02.4,1:2-2.5,23,54
fix_OkeAIV22,team_UbIB7L,18:29:14,rd1,00:30.0,01:24.0,Second Half,16-30,61-90,2.8,01:02.8,1:2.5-3,30,84
fix_OkeAIV22,team_UbIB7L,18:31:08,rd1,00:35.0,02:48.0,Second Half,31-45,151-180,4.8,01:04.8,1:3+,35,168
fix_OkeAIV22,team_UbIB7L,18:34:31,rd1,01:25.0,01:00.0,Second Half,61-90,46-60,0.705882353,01:00.7,1:0.5-1,85,60
fix_OkeAIV22,team_UbIB7L,18:36:56,rd1,01:21.0,01:11.0,Second Half,61-90,61-90,0.87654321,01:00.9,1:0.5-1,81,71
fix_OkeAIV22,team_UbIB7L,18:39:28,rd1,00:05.0,01:22.0,Second Half,0-15,61-90,16.4,01:16.4,1:3+,5,82
fix_OkeAIV22,team_UbIB7L,18:40:55,rd1,01:28.0,02:19.0,Second Half,61-90,121-150,1.579545455,01:01.6,1:1.5-2,88,139
fix_OkeAIV22,team_UbIB7L,18:44:42,rd1,00:13.0,01:50.0,Second Half,0-15,91-120,8.461538462,01:08.5,1:3+,13,110
fix_OkeAIV22,team_UbIB7L,18:46:45,rd1,00:09.0,00:34.0,Second Half,0-15,31-45,3.777777778,01:03.8,1:3+,9,34
fix_OkeAIV22,team_UbIB7L,18:47:28,rd1,00:49.0,00:45.0,Second Half,46-60,31-45,0.918367347,01:00.9,1:0.5-1,49,45
fix_OkeAIV22,team_UbIB7L,18:49:02,rd1,00:41.0,NA,Second Half,31-45,NA,NA,NA,NA,41,NA
fix_Dt7kB7Jf,team_GMTRNH,17:05:13,rd2,00:07.0,00:55.0,First Half,0-15,46-60,7.857142857,01:07.9,1:3+,7,55
fix_Dt7kB7Jf,team_GMTRNH,17:06:15,rd2,00:20.0,00:29.0,First Half,16-30,16-30,1.45,01:01.4,1:1-1.5,20,29
fix_Dt7kB7Jf,team_GMTRNH,17:07:04,rd2,00:09.0,00:43.0,First Half,0-15,31-45,4.777777778,01:04.8,1:3+,9,43
fix_Dt7kB7Jf,team_GMTRNH,17:07:56,rd2,00:04.0,00:43.0,First Half,0-15,31-45,10.75,01:10.7,1:3+,4,43
fix_Dt7kB7Jf,team_GMTRNH,17:08:43,rd2,00:42.0,00:33.0,First Half,31-45,31-45,0.785714286,01:00.8,1:0.5-1,42,33
fix_Dt7kB7Jf,team_GMTRNH,17:09:58,rd2,00:46.0,00:43.0,First Half,46-60,31-45,0.934782609,01:00.9,1:0.5-1,46,43
fix_Dt7kB7Jf,team_GMTRNH,17:11:27,rd2,00:37.0,01:35.0,First Half,31-45,91-120,2.567567568,01:02.6,1:2.5-3,37,95
fix_Dt7kB7Jf,team_GMTRNH,17:13:39,rd2,00:51.0,00:44.0,First Half,46-60,31-45,0.862745098,01:00.9,1:0.5-1,51,44
fix_Dt7kB7Jf,team_GMTRNH,17:15:14,rd2,00:12.0,00:02.0,First Half,0-15,0-15,0.166666667,01:00.2,1:0-0.5,12,2
fix_Dt7kB7Jf,team_GMTRNH,17:15:28,rd2,00:31.0,01:49.0,First Half,31-45,91-120,3.516129032,01:03.5,1:3+,31,109
fix_Dt7kB7Jf,team_GMTRNH,17:17:48,rd2,00:10.0,00:46.0,First Half,0-15,46-60,4.6,01:04.6,1:3+,10,46
fix_Dt7kB7Jf,team_GMTRNH,17:18:44,rd2,00:22.0,01:34.0,First Half,16-30,91-120,4.272727273,01:04.3,1:3+,22,94
fix_Dt7kB7Jf,team_GMTRNH,17:20:40,rd2,00:18.0,00:01.0,First Half,16-30,0-15,0.055555556,01:00.1,1:0-0.5,18,1
fix_Dt7kB7Jf,team_GMTRNH,17:20:59,rd2,00:09.0,00:49.0,First Half,0-15,46-60,5.444444444,01:05.4,1:3+,9,49
fix_Dt7kB7Jf,team_GMTRNH,17:21:57,rd2,00:51.0,00:18.0,First Half,46-60,16-30,0.352941176,01:00.3,1:0-0.5,51,18
fix_Dt7kB7Jf,team_GMTRNH,17:23:06,rd2,00:32.0,04:29.0,First Half,31-45,180+,8.40625,01:08.4,1:3+,32,269
fix_Dt7kB7Jf,team_GMTRNH,17:28:07,rd2,00:14.0,00:42.0,First Half,0-15,31-45,3,01:03,1:3+,14,42
fix_Dt7kB7Jf,team_GMTRNH,17:29:03,rd2,00:04.0,00:44.0,First Half,0-15,31-45,11,01:11,1:3+,4,44
fix_Dt7kB7Jf,team_GMTRNH,17:29:51,rd2,00:50.0,00:48.0,First Half,46-60,46-60,0.96,01:01.0,1:0.5-1,50,48
fix_Dt7kB7Jf,team_GMTRNH,17:31:29,rd2,01:42.0,00:55.0,First Half,91-120,46-60,0.539215686,01:00.5,1:0.5-1,102,55
fix_Dt7kB7Jf,team_GMTRNH,17:34:06,rd2,00:15.0,01:46.0,First Half,0-15,91-120,7.066666667,01:07.1,1:3+,15,106
fix_Dt7kB7Jf,team_GMTRNH,17:36:07,rd2,00:19.0,00:34.0,First Half,16-30,31-45,1.789473684,01:01.8,1:1.5-2,19,34
fix_Dt7kB7Jf,team_GMTRNH,17:37:00,rd2,00:09.0,00:52.0,First Half,0-15,46-60,5.777777778,01:05.8,1:3+,9,52
fix_Dt7kB7Jf,team_GMTRNH,17:38:01,rd2,00:16.0,00:48.0,First Half,16-30,46-60,3,01:03,1:3+,16,48
fix_Dt7kB7Jf,team_GMTRNH,17:39:05,rd2,01:04.0,00:54.0,First Half,61-90,46-60,0.84375,01:00.8,1:0.5-1,64,54
fix_Dt7kB7Jf,team_GMTRNH,17:41:03,rd2,00:28.0,01:33.0,First Half,16-30,91-120,3.321428571,01:03.3,1:3+,28,93
fix_Dt7kB7Jf,team_GMTRNH,17:43:04,rd2,00:20.0,01:01.0,First Half,16-30,61-90,3.05,01:03.0,1:3+,20,61
fix_Dt7kB7Jf,team_GMTRNH,17:44:25,rd2,00:08.0,00:35.0,First Half,0-15,31-45,4.375,01:04.4,1:3+,8,35
fix_Dt7kB7Jf,team_GMTRNH,17:45:08,rd2,00:13.0,01:36.0,First Half,0-15,91-120,7.384615385,01:07.4,1:3+,13,96
fix_Dt7kB7Jf,team_GMTRNH,17:46:57,rd2,01:13.0,00:34.0,First Half,61-90,31-45,0.465753425,01:00.5,1:0-0.5,73,34
fix_Dt7kB7Jf,team_GMTRNH,17:48:44,rd2,00:16.0,NA,First Half,16-30,NA,NA,NA,NA,16,NA
fix_Dt7kB7Jf,team_GMTRNH,18:00:28,rd2,00:48.0,00:31.0,Second Half,46-60,31-45,0.645833333,01:00.7,1:0.5-1,48,31
fix_Dt7kB7Jf,team_GMTRNH,18:01:47,rd2,00:08.0,01:00.0,Second Half,0-15,46-60,7.5,01:07.5,1:3+,8,60
fix_Dt7kB7Jf,team_GMTRNH,18:02:55,rd2,00:56.0,02:09.0,Second Half,46-60,121-150,2.303571429,01:02.3,1:2-2.5,56,129
fix_Dt7kB7Jf,team_GMTRNH,18:06:00,rd2,00:18.0,02:01.0,Second Half,16-30,121-150,6.722222222,01:06.7,1:3+,18,121
fix_Dt7kB7Jf,team_GMTRNH,18:08:19,rd2,00:25.0,00:52.0,Second Half,16-30,46-60,2.08,01:02.1,1:2-2.5,25,52
fix_Dt7kB7Jf,team_GMTRNH,18:09:36,rd2,00:16.0,00:58.0,Second Half,16-30,46-60,3.625,01:03.6,1:3+,16,58
fix_Dt7kB7Jf,team_GMTRNH,18:10:50,rd2,00:10.0,01:37.0,Second Half,0-15,91-120,9.7,01:09.7,1:3+,10,97
fix_Dt7kB7Jf,team_GMTRNH,18:12:37,rd2,00:32.0,00:57.0,Second Half,31-45,46-60,1.78125,01:01.8,1:1.5-2,32,57
fix_Dt7kB7Jf,team_GMTRNH,18:14:06,rd2,00:31.0,00:28.0,Second Half,31-45,16-30,0.903225806,01:00.9,1:0.5-1,31,28
fix_Dt7kB7Jf,team_GMTRNH,18:15:05,rd2,01:21.0,00:05.0,Second Half,61-90,0-15,0.061728395,01:00.1,1:0-0.5,81,5
fix_Dt7kB7Jf,team_GMTRNH,18:16:31,rd2,00:12.0,00:53.0,Second Half,0-15,46-60,4.416666667,01:04.4,1:3+,12,53
fix_Dt7kB7Jf,team_GMTRNH,18:17:36,rd2,00:30.0,01:20.0,Second Half,16-30,61-90,2.666666667,01:02.7,1:2.5-3,30,80
fix_Dt7kB7Jf,team_GMTRNH,18:19:26,rd2,00:12.0,01:52.0,Second Half,0-15,91-120,9.333333333,01:09.3,1:3+,12,112
fix_Dt7kB7Jf,team_GMTRNH,18:21:30,rd2,00:11.0,00:59.0,Second Half,0-15,46-60,5.363636364,01:05.4,1:3+,11,59
fix_Dt7kB7Jf,team_GMTRNH,18:22:40,rd2,00:37.0,01:36.0,Second Half,31-45,91-120,2.594594595,01:02.6,1:2.5-3,37,96
fix_Dt7kB7Jf,team_GMTRNH,18:24:53,rd2,00:23.0,00:08.0,Second Half,16-30,0-15,0.347826087,01:00.3,1:0-0.5,23,8
fix_Dt7kB7Jf,team_GMTRNH,18:25:24,rd2,00:34.0,00:46.0,Second Half,31-45,46-60,1.352941176,01:01.4,1:1-1.5,34,46
fix_Dt7kB7Jf,team_GMTRNH,18:26:44,rd2,00:17.0,00:40.0,Second Half,16-30,31-45,2.352941176,01:02.4,1:2-2.5,17,40
fix_Dt7kB7Jf,team_GMTRNH,18:27:41,rd2,00:34.0,00:30.0,Second Half,31-45,16-30,0.882352941,01:00.9,1:0.5-1,34,30
fix_Dt7kB7Jf,team_GMTRNH,18:28:45,rd2,00:53.0,01:38.0,Second Half,46-60,91-120,1.849056604,01:01.8,1:1.5-2,53,98
fix_Dt7kB7Jf,team_GMTRNH,18:31:16,rd2,00:15.0,00:14.0,Second Half,0-15,0-15,0.933333333,01:00.9,1:0.5-1,15,14
fix_Dt7kB7Jf,team_GMTRNH,18:31:45,rd2,00:33.0,00:54.0,Second Half,31-45,46-60,1.636363636,01:01.6,1:1.5-2,33,54
fix_Dt7kB7Jf,team_GMTRNH,18:33:12,rd2,00:11.0,01:55.0,Second Half,0-15,91-120,10.45454545,01:10.5,1:3+,11,115
fix_Dt7kB7Jf,team_GMTRNH,18:35:18,rd2,00:05.0,00:53.0,Second Half,0-15,46-60,10.6,01:10.6,1:3+,5,53
fix_Dt7kB7Jf,team_GMTRNH,18:36:16,rd2,00:15.0,00:26.0,Second Half,0-15,16-30,1.733333333,01:01.7,1:1.5-2,15,26
fix_Dt7kB7Jf,team_GMTRNH,18:36:57,rd2,00:44.0,02:06.0,Second Half,31-45,121-150,2.863636364,01:02.9,1:2.5-3,44,126
fix_Dt7kB7Jf,team_GMTRNH,18:39:47,rd2,00:41.0,00:34.0,Second Half,31-45,31-45,0.829268293,01:00.8,1:0.5-1,41,34
fix_Dt7kB7Jf,team_GMTRNH,18:41:02,rd2,01:25.0,01:00.0,Second Half,61-90,46-60,0.705882353,01:00.7,1:0.5-1,85,60
fix_Dt7kB7Jf,team_GMTRNH,18:43:27,rd2,00:14.0,00:53.0,Second Half,0-15,46-60,3.785714286,01:03.8,1:3+,14,53
fix_Dt7kB7Jf,team_GMTRNH,18:44:34,rd2,00:07.0,NA,Second Half,0-15,NA,NA,NA,NA,7,NA
fix_BiTLkB9M,team_WToSrG,17:05:00,rd3,02:56.0,00:29.0,First Half,151-180,16-30,0.164772727,01:00.2,1:0-0.5,176,29
fix_BiTLkB9M,team_WToSrG,17:08:25,rd3,01:16.0,00:38.0,First Half,61-90,31-45,0.5,01:00.5,1:0.5-1,76,38
fix_BiTLkB9M,team_WToSrG,17:10:19,rd3,00:41.0,02:00.0,First Half,31-45,91-120,2.926829268,01:02.9,1:2.5-3,41,120
fix_BiTLkB9M,team_WToSrG,17:13:00,rd3,00:03.0,00:43.0,First Half,0-15,31-45,14.33333333,01:14.3,1:3+,3,43
fix_BiTLkB9M,team_WToSrG,17:13:46,rd3,00:05.0,00:49.0,First Half,0-15,46-60,9.8,01:09.8,1:3+,5,49
fix_BiTLkB9M,team_WToSrG,17:14:40,rd3,00:15.0,00:48.0,First Half,0-15,46-60,3.2,01:03.2,1:3+,15,48
fix_BiTLkB9M,team_WToSrG,17:15:43,rd3,00:39.0,01:22.0,First Half,31-45,61-90,2.102564103,01:02.1,1:2-2.5,39,82
fix_BiTLkB9M,team_WToSrG,17:17:44,rd3,00:53.0,00:41.0,First Half,46-60,31-45,0.773584906,01:00.8,1:0.5-1,53,41
fix_BiTLkB9M,team_WToSrG,17:19:18,rd3,00:12.0,00:22.0,First Half,0-15,16-30,1.833333333,01:01.8,1:1.5-2,12,22
fix_BiTLkB9M,team_WToSrG,17:19:52,rd3,00:08.0,00:29.0,First Half,0-15,16-30,3.625,01:03.6,1:3+,8,29
fix_BiTLkB9M,team_WToSrG,17:20:29,rd3,00:29.0,00:35.0,First Half,16-30,31-45,1.206896552,01:01.2,1:1-1.5,29,35
fix_BiTLkB9M,team_WToSrG,17:21:33,rd3,00:25.0,00:32.0,First Half,16-30,31-45,1.28,01:01.3,1:1-1.5,25,32
fix_BiTLkB9M,team_WToSrG,17:22:30,rd3,00:41.0,01:31.0,First Half,31-45,91-120,2.219512195,01:02.2,1:2-2.5,41,91
fix_BiTLkB9M,team_WToSrG,17:24:42,rd3,00:09.0,00:21.0,First Half,0-15,16-30,2.333333333,01:02.3,1:2-2.5,9,21
fix_BiTLkB9M,team_WToSrG,17:25:12,rd3,00:12.0,01:16.0,First Half,0-15,61-90,6.333333333,01:06.3,1:3+,12,76
fix_BiTLkB9M,team_WToSrG,17:26:40,rd3,00:26.0,03:03.0,First Half,16-30,180+,7.038461538,01:07.0,1:3+,26,183
fix_BiTLkB9M,team_WToSrG,17:30:09,rd3,00:15.0,00:48.0,First Half,0-15,46-60,3.2,01:03.2,1:3+,15,48
fix_BiTLkB9M,team_WToSrG,17:31:12,rd3,00:13.0,01:11.0,First Half,0-15,61-90,5.461538462,01:05.5,1:3+,13,71
fix_BiTLkB9M,team_WToSrG,17:32:36,rd3,00:22.0,00:45.0,First Half,16-30,31-45,2.045454545,01:02.1,1:2-2.5,22,45
fix_BiTLkB9M,team_WToSrG,17:33:43,rd3,01:39.0,01:31.0,First Half,91-120,91-120,0.919191919,01:00.9,1:0.5-1,99,91
fix_BiTLkB9M,team_WToSrG,17:36:53,rd3,00:10.0,00:30.0,First Half,0-15,16-30,3,01:03,1:3+,10,30
fix_BiTLkB9M,team_WToSrG,17:37:33,rd3,00:10.0,00:41.0,First Half,0-15,31-45,4.1,01:04.1,1:3+,10,41
fix_BiTLkB9M,team_WToSrG,17:38:24,rd3,00:58.0,00:55.0,First Half,46-60,46-60,0.948275862,01:01.0,1:0.5-1,58,55
fix_BiTLkB9M,team_WToSrG,17:40:17,rd3,01:13.0,01:52.0,First Half,61-90,91-120,1.534246575,01:01.5,1:1.5-2,73,112
fix_BiTLkB9M,team_WToSrG,17:43:22,rd3,00:11.0,00:30.0,First Half,0-15,16-30,2.727272727,01:02.7,1:2.5-3,11,30
fix_BiTLkB9M,team_WToSrG,17:44:03,rd3,00:04.0,00:43.0,First Half,0-15,31-45,10.75,01:10.7,1:3+,4,43
fix_BiTLkB9M,team_WToSrG,17:44:50,rd3,00:05.0,00:24.0,First Half,0-15,16-30,4.8,01:04.8,1:3+,5,24
fix_BiTLkB9M,team_WToSrG,17:45:19,rd3,00:32.0,01:36.0,First Half,31-45,91-120,3,01:03,1:3+,32,96
fix_BiTLkB9M,team_WToSrG,17:47:27,rd3,01:31.0,01:01.0,First Half,91-120,61-90,0.67032967,01:00.7,1:0.5-1,91,61
fix_BiTLkB9M,team_WToSrG,17:49:59,rd3,00:20.0,00:12.0,First Half,16-30,0-15,0.6,01:00.6,1:0.5-1,20,12
fix_BiTLkB9M,team_WToSrG,17:50:31,rd3,00:09.0,00:56.0,First Half,0-15,46-60,6.222222222,01:06.2,1:3+,9,56
fix_BiTLkB9M,team_WToSrG,17:51:36,rd3,00:19.0,00:13.0,First Half,16-30,0-15,0.684210526,01:00.7,1:0.5-1,19,13
fix_BiTLkB9M,team_WToSrG,17:52:08,rd3,00:22.0,NA,First Half,16-30,NA,NA,NA,NA,22,NA
fix_BiTLkB9M,team_WToSrG,18:04:25,rd3,00:30.0,00:49.0,Second Half,16-30,46-60,1.633333333,01:01.6,1:1.5-2,30,49
fix_BiTLkB9M,team_WToSrG,18:05:44,rd3,00:17.0,00:29.0,Second Half,16-30,16-30,1.705882353,01:01.7,1:1.5-2,17,29
fix_BiTLkB9M,team_WToSrG,18:06:30,rd3,00:38.0,00:59.0,Second Half,31-45,46-60,1.552631579,01:01.5,1:1.5-2,38,59
fix_BiTLkB9M,team_WToSrG,18:08:07,rd3,00:04.0,00:47.0,Second Half,0-15,46-60,11.75,01:11.8,1:3+,4,47
fix_BiTLkB9M,team_WToSrG,18:08:58,rd3,02:29.0,01:44.0,Second Half,121-150,91-120,0.697986577,01:00.7,1:0.5-1,149,104
fix_BiTLkB9M,team_WToSrG,18:13:11,rd3,01:49.0,00:43.0,Second Half,91-120,31-45,0.394495413,01:00.4,1:0-0.5,109,43
fix_BiTLkB9M,team_WToSrG,18:15:43,rd3,01:56.0,01:05.0,Second Half,91-120,61-90,0.560344828,01:00.6,1:0.5-1,116,65
fix_BiTLkB9M,team_WToSrG,18:18:44,rd3,00:22.0,02:13.0,Second Half,16-30,121-150,6.045454545,01:06.0,1:3+,22,133
fix_BiTLkB9M,team_WToSrG,18:21:19,rd3,00:34.0,00:43.0,Second Half,31-45,31-45,1.264705882,01:01.3,1:1-1.5,34,43
fix_BiTLkB9M,team_WToSrG,18:22:36,rd3,00:23.0,00:47.0,Second Half,16-30,46-60,2.043478261,01:02.0,1:2-2.5,23,47
fix_BiTLkB9M,team_WToSrG,18:23:46,rd3,00:48.0,00:57.0,Second Half,46-60,46-60,1.1875,01:01.2,1:1-1.5,48,57
fix_BiTLkB9M,team_WToSrG,18:25:31,rd3,00:12.0,03:07.0,Second Half,0-15,180+,15.58333333,01:15.6,1:3+,12,187
fix_BiTLkB9M,team_WToSrG,18:28:50,rd3,01:07.0,00:46.0,Second Half,61-90,46-60,0.686567164,01:00.7,1:0.5-1,67,46
fix_BiTLkB9M,team_WToSrG,18:30:43,rd3,00:05.0,00:03.0,Second Half,0-15,0-15,0.6,01:00.6,1:0.5-1,5,3
fix_BiTLkB9M,team_WToSrG,18:30:51,rd3,01:21.0,02:09.0,Second Half,61-90,121-150,1.592592593,01:01.6,1:1.5-2,81,129
fix_BiTLkB9M,team_WToSrG,18:34:21,rd3,00:07.0,00:39.0,Second Half,0-15,31-45,5.571428571,01:05.6,1:3+,7,39
fix_BiTLkB9M,team_WToSrG,18:35:07,rd3,00:32.0,00:47.0,Second Half,31-45,46-60,1.46875,01:01.5,1:1-1.5,32,47
fix_BiTLkB9M,team_WToSrG,18:36:26,rd3,00:08.0,00:30.0,Second Half,0-15,16-30,3.75,01:03.8,1:3+,8,30
fix_BiTLkB9M,team_WToSrG,18:37:04,rd3,00:38.0,00:30.0,Second Half,31-45,16-30,0.789473684,01:00.8,1:0.5-1,38,30
fix_BiTLkB9M,team_WToSrG,18:38:12,rd3,00:50.0,01:45.0,Second Half,46-60,91-120,2.1,01:02.1,1:2-2.5,50,105
fix_BiTLkB9M,team_WToSrG,18:40:47,rd3,02:38.0,01:20.0,Second Half,151-180,61-90,0.506329114,01:00.5,1:0.5-1,158,80
fix_BiTLkB9M,team_WToSrG,18:44:45,rd3,00:08.0,00:17.0,Second Half,0-15,16-30,2.125,01:02.1,1:2-2.5,8,17
fix_BiTLkB9M,team_WToSrG,18:45:10,rd3,00:23.0,00:24.0,Second Half,16-30,16-30,1.043478261,01:01.0,1:1-1.5,23,24
fix_BiTLkB9M,team_WToSrG,18:45:57,rd3,02:29.0,00:28.0,Second Half,121-150,16-30,0.187919463,01:00.2,1:0-0.5,149,28
fix_BiTLkB9M,team_WToSrG,18:48:54,rd3,00:17.0,00:29.0,Second Half,16-30,16-30,1.705882353,01:01.7,1:1.5-2,17,29
fix_BiTLkB9M,team_WToSrG,18:49:40,rd3,00:10.0,00:46.0,Second Half,0-15,46-60,4.6,01:04.6,1:3+,10,46
fix_BiTLkB9M,team_WToSrG,18:50:36,rd3,01:31.0,01:21.0,Second Half,91-120,61-90,0.89010989,01:00.9,1:0.5-1,91,81
fix_BiTLkB9M,team_WToSrG,18:53:28,rd3,00:26.0,NA,Second Half,16-30,NA,NA,NA,NA,26,NA
